Coin,Price (if available)
drpu,0.2921
uspx,N/A
ceth,24.59
audx,0.7744
upusd,0.4294
bsx,0.0001892
ethos,1.12
ceth,24.6
isf,N/A
peg,0.0001948
uair,N/A
ana,N/A
dodo,0.1279
hdo,N/A
dacxi,N/A
musd,0.996
wafl,N/A
trl,0.02008
srnt,0.0007969
sgr,1.675
wabi,0.03511
pusd,N/A
taud,N/A
xbgold,N/A
nzdx,0.7204
aust,N/A
rubx,N/A
eurt,1.054
zoom,0.009685
trl,0.02008
bsx,0.0001892
ampx,N/A
bico,0.5682
usg,799
cplt,N/A
drpu,0.2922
aergo1,N/A
amp,0.00909
gigdrop,N/A
cdai,0.01841
tbtc1,N/A
sgdx,N/A
wcfg,0.22
gec,0.2451
xsgd,0.7129
bxx,N/A
cslv,N/A
eurs,1.05
slvx,25.92
eurst,N/A
xsushi,1.549
nym,0.3751
bid,0.001775
gal,3.151
fwb,13.19
cqx,N/A
thkd,N/A
cct,0.002325
buy,0.00586
ana,N/A
xbgold,N/A
inst,0.7796
ngnt,N/A
vsp,0.5054
cplt,N/A
ff1,1.788
bico,0.5682
mpl,14.08
hkdx,N/A
audx,0.7744
nzdx,0.7204
inf,N/A
thkd,N/A
vrgx,N/A
eurt,1.054
cdag,N/A
gog,0.143
ronc,N/A
dyn,2
uspx,N/A
gamma,0.1732
sgr,1.675
wht,N/A
btu,0.0734
inst,0.7796
dacxi,N/A
prdx,N/A
mof,0.0002241
gyen,0.007319
gog,0.143
cbat,N/A
srnt,0.0007967
upusd,0.4296
cqx,N/A
amon,0.000975
amon,0.000975
koin,0.1961
rare,0.2298
ronc,N/A
plx,0.01226
edison,N/A
cusdc,0.001863
rook,29.29
fmf,N/A
chfx,1.118
eurs,1.05
i8,N/A
gec,0.2451
buy,0.005862
cdag,N/A
bxxv1,N/A
gyen,0.007319
ngnt,N/A
injv2,N/A
wafl,N/A
mtcn,0.01029
cwbtc,N/A
cadx,0.8266
zoom,0.009682
chfx,1.118
tgbp,N/A
wpx,N/A
qdt,N/A
threshold,N/A
xtp,0.0004207
pdata,N/A
plx,0.01226
pstake,0.1104
gldx,4144.63
peth,N/A
zarx,0.06464
tryb,0.05959
pusd,N/A
utk1,N/A
amo,0.001017
jbc,N/A
bbx,N/A
bid,0.001775
tenx,N/A
usg,798.94
bxxv1,N/A
fdt,N/A
tryx,N/A
bit,0.4671
prdx,N/A
wcfg,0.22
qdt,N/A
xtp,0.0004205
inx,N/A
eurst,N/A
gbpx,1.417
bbx,N/A
uair,N/A
tryx,N/A
tenx,N/A
loom1,N/A
ethos,1.12
jpyx,0.009165
vrgx,N/A
slp,0.00414
wpx,N/A
idrc,N/A
isf,N/A
zarx,0.06464
ampx,N/A
gxc,0.283
tbtc1,N/A
amo,0.001017
usdx,0.9835
fmf,N/A
cwbtc,N/A
qvt,0.001798
hkdx,N/A
czrx,N/A
cnyx,0.0918
quick,53.02
fly,0.0005256
bxx,N/A
loom1,N/A
cusdc,0.001862
cnyx,0.0918
ff1,1.788
tryb,0.05959
cacxt,N/A
dodo,0.128
ali,0.02131
fdt,N/A
fwb,13.18
dyn,2
pdata,N/A
sgdx,N/A
tgbp,N/A
peg,0.0001948
eurx,1.185
wht,N/A
gdt,0.1837
xsgd,0.7129
koin,0.196
c8p,N/A
cbat,N/A
jfin,N/A
tcad,N/A
tcad,N/A
btu,0.07334
gldx,4140.87
aergo1,N/A
plnx,N/A
idrc,N/A
ns2drp,N/A
bcap,4.635
gbpx,1.417
repv2,N/A
c8p,N/A
inx,N/A
rubx,N/A
edison,N/A
eurx,1.185
peth,N/A
bcap,4.633
injv2,N/A
cacxt,N/A
quick,52.99
jpyx,0.009165
mof,0.000224
slvx,25.92
jbc,N/A
mtcn,0.01028
aust,N/A
qvt,0.001798
bit,0.467
cct,0.002325
jfin,N/A
amp,0.00909
cdai,0.01839
i8,N/A
utk1,N/A
wabi,0.03509
czrx,N/A
gxc,0.2828
planet,0.008974
musd,0.996
taud,N/A
planet,0.008973
usdx,0.9835
slp,0.004138
inf,N/A
cslv,N/A
gdt,0.1841
plnx,N/A
xsushi,1.547
ns2drp,N/A
gigdrop,N/A
cadx,0.8266
